Timestamp,Purchase Price,US Zip Code,Credit Card Number,Product ID,Customer Name
2021-04-13,61.03,27520,4438010278149,PxL-51788285,Fred Smith
2021-12-29,86.78,17844,4525551545874679,nMz-80538268,Benjamin Hanson
2022-12-18,53.13,05021,38432614352277,nKT-54192826,Jacob Martin
2021-03-14,76.19,43438,675939234539,ahq-16273899,Stephanie Schroeder
2021-12-13,78.97,24067,346450726185036,ygU-74999856,James Cantrell
2021-06-04,13.35,76716,3567371260680404,Cbc-03452676,Hayley Smith
2021-04-29,38.73,09076,4686817302310,yiu-62725487,Lawrence Frazier
2021-07-02,86.12,80896,343251886755078,nbC-97846949,Amanda Wood
2021-03-22,59.14,67033,30227079507656,HmL-93342376,Samuel Clay
2021-08-26,80.55,18334,5299712484325252,JGT-08589258,Jeffrey Luna
2021-11-27,83.41,22766,3515580746128498,TVj-76629955,David White
2021-10-22,14.13,18378,6522420736492873,DhS-47749828,Brenda Jones
2022-12-11,89.97,53715,4895633415490133,vko-42134888,Dr. Edward Morrison
2022-02-27,61.92,94459,4659100955424449,sYj-78819510,John Gomez
2022-04-22,33.84,36615,2535536353263604,FRP-45674960,Desiree Medina
